,Source node name,Target node name,Source node type,Target node type,Relationship type
0,A1BG,C0019209,gene,disease,risk_gene
1,A1BG,C0036341,gene,disease,risk_gene
2,A2M,C0002395,gene,disease,risk_gene
3,A2M,C0007102,gene,disease,risk_gene
4,A2M,C0009375,gene,disease,risk_gene
5,A2M,C0011265,gene,disease,risk_gene
6,A2M,C0011570,gene,disease,risk_gene
7,A2M,C0011581,gene,disease,risk_gene
8,A2M,C0019202,gene,disease,risk_gene
9,A2M,C0022660,gene,disease,risk_gene
10,A2M,C0023890,gene,disease,risk_gene
11,A2M,C0023893,gene,disease,risk_gene
12,A2M,C0024115,gene,disease,risk_gene
13,A2M,C0024121,gene,disease,risk_gene
14,A2M,C0027726,gene,disease,risk_gene
15,A2M,C0206669,gene,disease,risk_gene
16,A2M,C0239946,gene,disease,risk_gene
17,A2M,C0242379,gene,disease,risk_gene
18,A2M,C0276496,gene,disease,risk_gene
19,A2M,C0494463,gene,disease,risk_gene
20,A2M,C0546126,gene,disease,risk_gene
21,A2M,C0750900,gene,disease,risk_gene
22,A2M,C0750901,gene,disease,risk_gene
23,A2M,C1527352,gene,disease,risk_gene
24,A2M,C1565662,gene,disease,risk_gene
25,A2M,C2239176,gene,disease,risk_gene
26,A2M,C2609414,gene,disease,risk_gene
27,A2M,C3279661,gene,disease,risk_gene
28,NAT1,C0001973,gene,disease,risk_gene
29,NAT1,C0004403,gene,disease,risk_gene
30,NAT1,C0005684,gene,disease,risk_gene
31,NAT1,C0005695,gene,disease,risk_gene
32,NAT1,C0006826,gene,disease,risk_gene
33,NAT1,C0008625,gene,disease,risk_gene
34,NAT1,C0013221,gene,disease,risk_gene
35,NAT1,C0027651,gene,disease,risk_gene
36,NAT1,C0028796,gene,disease,risk_gene
37,NAT1,C0033578,gene,disease,risk_gene
38,NAT1,C0041755,gene,disease,risk_gene
39,NAT1,C0086457,gene,disease,risk_gene
40,NAT1,C0086692,gene,disease,risk_gene
41,NAT1,C0376358,gene,disease,risk_gene
42,NAT2,C0005684,gene,disease,risk_gene
43,NAT2,C0005695,gene,disease,risk_gene
44,NAT2,C0006142,gene,disease,risk_gene
45,NAT2,C0010054,gene,disease,risk_gene
46,NAT2,C0011999,gene,disease,risk_gene
47,NAT2,C0013182,gene,disease,risk_gene
48,NAT2,C0013221,gene,disease,risk_gene
49,NAT2,C0019193,gene,disease,risk_gene
50,NAT2,C0023452,gene,disease,risk_gene
51,NAT2,C0023453,gene,disease,risk_gene
52,NAT2,C0023530,gene,disease,risk_gene
53,NAT2,C0023903,gene,disease,risk_gene
54,NAT2,C0027794,gene,disease,risk_gene
55,NAT2,C0027806,gene,disease,risk_gene
56,NAT2,C0028796,gene,disease,risk_gene
57,NAT2,C0033578,gene,disease,risk_gene
58,NAT2,C0041755,gene,disease,risk_gene
59,NAT2,C0080218,gene,disease,risk_gene
60,NAT2,C0086457,gene,disease,risk_gene
61,NAT2,C0152234,gene,disease,risk_gene
62,NAT2,C0152426,gene,disease,risk_gene
63,NAT2,C0266453,gene,disease,risk_gene
64,NAT2,C0344479,gene,disease,risk_gene
65,NAT2,C0345904,gene,disease,risk_gene
66,NAT2,C0345967,gene,disease,risk_gene
67,NAT2,C0376358,gene,disease,risk_gene
68,NAT2,C0678222,gene,disease,risk_gene
69,NAT2,C0702169,gene,disease,risk_gene
70,NAT2,C0860207,gene,disease,risk_gene
71,NAT2,C1257931,gene,disease,risk_gene
72,NAT2,C1262760,gene,disease,risk_gene
73,NAT2,C1458155,gene,disease,risk_gene
74,NAT2,C1956346,gene,disease,risk_gene
75,NAT2,C1961102,gene,disease,risk_gene
76,NAT2,C2239176,gene,disease,risk_gene
77,NAT2,C3658290,gene,disease,risk_gene
78,NAT2,C4277682,gene,disease,risk_gene
79,NAT2,C4279912,gene,disease,risk_gene
80,NAT2,C4704874,gene,disease,risk_gene
81,SERPINA3,C0023794,gene,disease,risk_gene
82,SERPINA3,C0033578,gene,disease,risk_gene
83,SERPINA3,C0376358,gene,disease,risk_gene
84,AADAC,C0023893,gene,disease,risk_gene
85,AANAT,C0005587,gene,disease,risk_gene
86,AANAT,C0011570,gene,disease,risk_gene
87,AANAT,C0011581,gene,disease,risk_gene
88,AANAT,C0393770,gene,disease,risk_gene
89,AANAT,C0494410,gene,disease,risk_gene
90,AANAT,C0751758,gene,disease,risk_gene
91,AANAT,C0751759,gene,disease,risk_gene
92,AANAT,C0751760,gene,disease,risk_gene
93,AANAT,C0877792,gene,disease,risk_gene
94,AARS1,C2750090,gene,disease,risk_gene
95,AARS1,C4225361,gene,disease,risk_gene
96,ABAT,C0004352,gene,disease,risk_gene
97,ABAT,C0017168,gene,disease,risk_gene
98,ABAT,C0022333,gene,disease,risk_gene
99,ABAT,C0023380,gene,disease,risk_gene
100,ABAT,C0023893,gene,disease,risk_gene
101,ABAT,C0026825,gene,disease,risk_gene
102,ABAT,C0026827,gene,disease,risk_gene
103,ABAT,C0033922,gene,disease,risk_gene
104,ABAT,C0034933,gene,disease,risk_gene
105,ABAT,C0036572,gene,disease,risk_gene
106,ABAT,C0149958,gene,disease,risk_gene
107,ABAT,C0151572,gene,disease,risk_gene
108,ABAT,C0151888,gene,disease,risk_gene
109,ABAT,C0151889,gene,disease,risk_gene
110,ABAT,C0234146,gene,disease,risk_gene
111,ABAT,C0234533,gene,disease,risk_gene
112,ABAT,C0234535,gene,disease,risk_gene
113,ABAT,C0234784,gene,disease,risk_gene
114,ABAT,C0241772,gene,disease,risk_gene
115,ABAT,C0270824,gene,disease,risk_gene
116,ABAT,C0270844,gene,disease,risk_gene
117,ABAT,C0270846,gene,disease,risk_gene
118,ABAT,C0277839,gene,disease,risk_gene
119,ABAT,C0277850,gene,disease,risk_gene
120,ABAT,C0278211,gene,disease,risk_gene
121,ABAT,C0342708,gene,disease,risk_gene
122,ABAT,C0422850,gene,disease,risk_gene
123,ABAT,C0422852,gene,disease,risk_gene
124,ABAT,C0422853,gene,disease,risk_gene
125,ABAT,C0422854,gene,disease,risk_gene
126,ABAT,C0422855,gene,disease,risk_gene
127,ABAT,C0424230,gene,disease,risk_gene
128,ABAT,C0424605,gene,disease,risk_gene
129,ABAT,C0427201,gene,disease,risk_gene
130,ABAT,C0427202,gene,disease,risk_gene
131,ABAT,C0494475,gene,disease,risk_gene
132,ABAT,C0522345,gene,disease,risk_gene
133,ABAT,C0557874,gene,disease,risk_gene
134,ABAT,C0558845,gene,disease,risk_gene
135,ABAT,C0558846,gene,disease,risk_gene
136,ABAT,C0558847,gene,disease,risk_gene
137,ABAT,C0576612,gene,disease,risk_gene
138,ABAT,C0743002,gene,disease,risk_gene
139,ABAT,C0751056,gene,disease,risk_gene
140,ABAT,C0751110,gene,disease,risk_gene
141,ABAT,C0751123,gene,disease,risk_gene
142,ABAT,C0751330,gene,disease,risk_gene
143,ABAT,C0751456,gene,disease,risk_gene
144,ABAT,C0751468,gene,disease,risk_gene
145,ABAT,C0751469,gene,disease,risk_gene
146,ABAT,C0751470,gene,disease,risk_gene
147,ABAT,C0751471,gene,disease,risk_gene
148,ABAT,C0751472,gene,disease,risk_gene
149,ABAT,C0751473,gene,disease,risk_gene
150,ABAT,C0751474,gene,disease,risk_gene
151,ABAT,C0751475,gene,disease,risk_gene
152,ABAT,C0751476,gene,disease,risk_gene
153,ABAT,C0751477,gene,disease,risk_gene
154,ABAT,C0751478,gene,disease,risk_gene
155,ABAT,C0751479,gene,disease,risk_gene
156,ABAT,C0751480,gene,disease,risk_gene
157,ABAT,C0751481,gene,disease,risk_gene
158,ABAT,C0751494,gene,disease,risk_gene
159,ABAT,C0751495,gene,disease,risk_gene
160,ABAT,C0751496,gene,disease,risk_gene
161,ABAT,C2267233,gene,disease,risk_gene
162,ABAT,C3495874,gene,disease,risk_gene
163,ABAT,C4048158,gene,disease,risk_gene
164,ABAT,C4316903,gene,disease,risk_gene
165,ABAT,C4317109,gene,disease,risk_gene
166,ABAT,C4317123,gene,disease,risk_gene
167,ABAT,C4505436,gene,disease,risk_gene
168,ABCA1,C0004153,gene,disease,risk_gene
169,ABCA1,C0009402,gene,disease,risk_gene
170,ABCA1,C0009404,gene,disease,risk_gene
171,ABCA1,C0020443,gene,disease,risk_gene
172,ABCA1,C0020445,gene,disease,risk_gene
173,ABCA1,C0022661,gene,disease,risk_gene
174,ABCA1,C0036341,gene,disease,risk_gene
175,ABCA1,C0039292,gene,disease,risk_gene
176,ABCA1,C0342898,gene,disease,risk_gene
177,ABCA1,C0473527,gene,disease,risk_gene
178,ABCA1,C0745103,gene,disease,risk_gene
179,ABCA1,C0751544,gene,disease,risk_gene
180,ABCA1,C1563937,gene,disease,risk_gene
181,ABCA1,C1704417,gene,disease,risk_gene
182,ABCA1,C1704429,gene,disease,risk_gene
183,ABCA1,C2931838,gene,disease,risk_gene
184,ABCA1,C3711531,gene,disease,risk_gene
185,ABCA1,C4721453,gene,disease,risk_gene
187,ABCA3,C0009402,gene,disease,risk_gene
188,ABCA3,C0009404,gene,disease,risk_gene
189,ABCA3,C0013990,gene,disease,risk_gene
